Team,total_epa_estimate,total_epa_std,auto_epa_estimate,auto_epa_std,teleop_epa_estimate,teleop_epa_std,endgame_epa_estimate,endgame_epa_std,defensive_epa_estimate,defensive_epa_std,foul_epa_estimate,foul_epa_std,residual_epa_estimate,residual_epa_std,auto_exit_prob,auto_coral_l1_epa_estimate,auto_coral_l1_epa_std,auto_coral_l2_epa_estimate,auto_coral_l2_epa_std,auto_coral_l3_epa_estimate,auto_coral_l3_epa_std,auto_coral_l4_epa_estimate,auto_coral_l4_epa_std,teleop_coral_l1_epa_estimate,teleop_coral_l1_epa_std,teleop_coral_l2_epa_estimate,teleop_coral_l2_epa_std,teleop_coral_l3_epa_estimate,teleop_coral_l3_epa_std,teleop_coral_l4_epa_estimate,teleop_coral_l4_epa_std,teleop_processor_algae_epa_estimate,teleop_processor_algae_epa_std,teleop_net_algae_epa_estimate,teleop_net_algae_epa_std
frc100,35.61975719971778,8.040666434204374,7.802229738738476,1.5604459477476953,23.817527460979303,6.798332527193612,4.0,4.0,2.9292304090640244,0,1.1428571428571432,1.7353206817417715,-0.2904555723394304,6.0315500738791075,1.0,2.615257221033222e-07,0.1336306209562122,3.282599271378968e-07,0.1336306209562122,2.8156670352024055e-07,0.1336306209562122,0.6860322788173401,0.17150806970433502,0.5740676859341256,0.010705464160234329,0.16782561242453495,0.010705464160234329,1.4603931263468226,0.010705464160234329,2.287553577937245,0.010705464160234329,0.47523782210850307,0.010705464160234329,0.5087869810282284,0.010705464160234329
frc10212,12.998024299812561,4.737001724927835,3.5504239606806167,1.4433756729740645,7.447600339131945,4.511746004446167,2.0,0.0,21.922159146076943,0,0.3888888888888889,0.7432826755699806,10.049929849751146,6.386956711288937,0.6666666666666667,0.04182526637343293,0.14433756729740646,0.07576587418324598,0.14433756729740646,0.1290555727585439,0.14433756729740646,0.04965017546801005,0.14433756729740646,1.9378985550694275e-07,0.010705464160234329,7.698935058378117e-08,0.010705464160234329,1.1033564322603312e-08,0.010705464160234329,1.4895198968116383,0.010705464160234329,1.8830126371318443e-08,0.010705464160234329,1.985274368753545e-08,0.010705464160234329
frc10336,12.195787793259534,6.270622870879187,1.6666669359657031,1.6666666666666667,8.529120857293831,6.045075136920579,2.0,0,6.619262480742954,0,3.703703703703704,4.378523468483452,0.8563763773302622,7.647954149170963,0.5555555555555556,2.8614616992645946e-08,0.16666666666666669,2.056391631339482e-08,0.16666666666666669,9.836085742571043e-09,0.16666666666666669,6.026143697046218e-09,0.16666666666666669,2.0228040877826166e-07,0.010705464160234329,1.0733482134242072e-07,0.010705464160234329,7.400877283521672e-08,0.010705464160234329,1.7058230140413495,0.010705464160234329,4.821061567126315e-07,0.010705464160234329,4.6796244335695867e-07,0.010705464160234329
frc1072,N/A - No data available
frc1197,92.72137216620918,9.058954144310345,26.32811706690502,5.265623413381004,58.39325509930416,5.507981504795687,7.999999999999997,4.898979485566356,4.089010647288549,0,0.7555555555555553,1.5561903466676974,9.514839716375267,6.293976561165053,1.0,0.003477842424519098,0.12909944487358058,5.703258997092233e-07,0.12909944487358058,2.3123960035793703e-05,0.12909944487358058,3.3310775020810923,0.8327693755202731,1.4972151705671855e-08,0.010705464160234329,2.1825526799896195,0.010705464160234329,5.158375675420114,0.010705464160234329,3.800331653156207,0.010705464160234329,0.25658415376939775,0.010705464160234329,2.66773278482828,0.010705464160234329
frc1671,55.40610476253165,7.065302611592631,10.908341642681435,2.1816683285362872,37.14620061985021,4.503600835891828,7.3515625,4.987625066962607,1.2157003572995235,0,2.0344827586206904,5.4394928964021325,-1.148105891848675,4.067221671354796,0.9758620689655171,0.1275319357353367,0.08333333333333334,2.490926507756622e-07,0.08333333333333334,1.174963668190731e-07,0.08333333333333334,1.0854511324614384,0.2713627831153596,3.311778168920469e-08,0.010705464160234329,1.317032136106603,0.010705464160234329,2.302576778608066,0.010705464160234329,2.7560970100256488,0.010705464160234329,0.5522721634740138,0.010705464160234329,1.7226697499725618,0.010705464160234329
frc2035,18.90231313830394,4.963333249387243,4.0576327845708855,1.212678125181665,12.844680353733052,4.812908549845801,2.0,0.0,8.530635135656034,0,2.0000000000000004,2.4199605679280807,6.121549190773113,5.640911355109754,0.7647058823529411,0.5878379826187666,0.14695949565469166,1.0295524979553071e-07,0.1212678125181665,6.717218784713846e-08,0.1212678125181665,5.3543090844977053e-08,0.1212678125181665,4.161263119287484,0.010705464160234329,2.3483492622417942e-08,0.010705464160234329,1.8839328649868432e-08,0.010705464160234329,0.9044305575036163,0.010705464160234329,2.8936901992050147e-08,0.010705464160234329,2.5205269943575624e-07,0.010705464160234329
frc2073,30.78892731761224,6.4045099627193425,8.212669082334008,1.6425338164668017,20.100067759087757,5.812459301538728,2.4761904761904754,2.1295885499998,7.01561254878504,0,0.8567493112947662,1.5471330435120603,5.1799702407677355,4.162331170572215,1.0,0.046086814783087446,0.09128709291752769,1.399876291546572e-07,0.09128709291752769,2.411865802291743e-07,0.09128709291752769,0.7249152329878209,0.18122880824695523,0.23714558541060823,0.010705464160234329,0.9190681593450205,0.010705464160234329,1.2248220491331752,0.010705464160234329,1.6445741426348466,0.010705464160234329,0.44893353946269765,0.010705464160234329,0.26320299093709043,0.010705464160234329
frc2135,47.25248642232929,5.990301309221214,15.637933035980295,3.127586607196059,29.614553386348994,5.109003013284023,2.0,0.0,11.102239049668484,0,0.75,1.3307266185559425,-2.53529596830709,5.780315101110838,1.0,8.728283406736435e-07,0.125,2.8084758706189917e-07,0.125,2.3290550412532383e-07,0.125,1.8054182709531283,0.4513545677382821,0.5829809658787775,0.010705464160234329,0.8298405432355165,0.010705464160234329,2.8350976957566894,0.010705464160234329,2.827508017699629,0.010705464160234329,0.07912615648645062,0.010705464160234329,0.0015955036103205006,0.010705464160234329
frc2288,39.58169911214405,8.959088912905921,4.605405438682055,1.3363062095621219,32.976293673461996,8.858868994608708,2.0,0.0,6.3351241378747485,0,1.523809523809524,2.144443856990039,4.58590464961292,6.027856860163655,0.9285714285714286,2.0930489749042636e-07,0.1336306209562122,2.99560454953756e-07,0.1336306209562122,7.946559673000939e-08,0.1336306209562122,0.25995555000252524,0.1336306209562122,0.6468863715669309,0.010705464160234329,0.6468264809918408,0.010705464160234329,2.388070937851209,0.010705464160234329,3.6662495100002337,0.010705464160234329,5.543556222667312e-08,0.010705464160234329,0.46462746333330834,0.010705464160234329
frc2367,5.250000367826264,5.291100542447371,1.9999998400314043,1.4433756729740645,5.277948597667764e-07,3.8697430944383795,3.2499999999999996,3.307189138830738,7.524805367181121,0,0.8333333333333335,1.1587029785896785,-3.0808132070225884,6.433704957657517,0.6666666666666667,-6.664869674062288e-09,0.14433756729740646,-7.48448946689639e-09,0.14433756729740646,-8.3226316139091e-09,0.14433756729740646,-8.585748465329622e-09,0.14433756729740646,4.106423155372712e-08,0.010705464160234329,1.943832467974586e-08,0.010705464160234329,8.083360269580126e-09,0.010705464160234329,7.90246280341441e-09,0.010705464160234329,2.1071519440521918e-08,0.010705464160234329,4.726913772039014e-08,0.010705464160234329
frc2465,N/A - No data available
frc2643,28.60473619507428,6.927780600618176,4.079555770238262,1.25,22.52518042483602,6.8140769037560425,2.0,0.0,1.2709813234417482,0,1.0833333333333335,1.839006374226159,3.926399396464513,5.773154585891756,1.0,3.0372149847613533e-07,0.125,4.24492836866729e-07,0.125,0.031866890451654535,0.125,0.1269074026274988,0.125,1.6299382661970854e-07,0.010705464160234329,1.853715623080064e-08,0.010705464160234329,0.5655147802330059,0.010705464160234329,1.6644138032560292,0.010705464160234329,0.9177083540561148,0.010705464160234329,1.6087004454220104,0.010705464160234329
frc3473,31.427571364018828,9.373371812617643,2.750000086332253,1.4433756729740645,26.677571277686575,9.261574693551935,2.0,0.0,7.996632300870873,0,2.3888888888888893,2.9994855525984643,7.594933230227074,6.744200974365859,0.9166666666666665,1.6753931852919803e-08,0.14433756729740646,7.452530710497162e-09,0.14433756729740646,1.6884839602199963e-09,0.14433756729740646,-5.529384563362063e-10,0.14433756729740646,0.19887455446028812,0.010705464160234329,1.7727420781700143,0.010705464160234329,2.623322910824701,0.010705464160234329,2.0411447927797717,0.010705464160234329,0.04376328342526662,0.010705464160234329,1.566266742321291e-07,0.010705464160234329
frc3512,40.502107134459386,8.336973353417486,2.7272727460798856,1.507556722888818,31.7748343883795,6.575134783627324,6.000000000000001,4.898979485566356,5.144760432356803,0,0.8484848484848487,1.4239200150873612,1.5699799244885155,7.043025369449009,0.909090909090909,8.489856294522323e-09,0.15075567228888181,3.644546612472298e-09,0.15075567228888181,-9.36208720326943e-10,0.15075567228888181,-2.231906338094459e-09,0.15075567228888181,1.4681057499737435e-07,0.010705464160234329,0.19452230198955564,0.010705464160234329,1.2969373710626995,0.010705464160234329,4.14208225861903,0.010705464160234329,0.7702614139047038,0.010705464160234329,0.16788448200387882,0.010705464160234329
frc3970,61.60141680612757,11.860926230365491,11.516166972419649,2.30323339448393,42.70063444909253,10.513068817751979,7.384615384615385,4.9851851526214315,6.6487504973202185,0,2.387096774193549,2.907285095246656,-5.366322192731627,4.184147929049234,0.8387096774193548,0.04007284305621611,0.08980265101338747,1.3800015631771865e-07,0.08980265101338747,8.24982189856055e-08,0.08980265101338747,1.2685454805718568,0.3171363701429642,0.957548298344429,0.010705464160234329,1.4444693600234648,0.010705464160234329,3.0450163275846087,0.010705464160234329,2.7078254513427074,0.010705464160234329,0.4513847363260884,0.010705464160234329,2.0061571968311953,0.010705464160234329
frc4141,38.901834000965394,8.43453364189584,7.980034011829103,1.5960068023658207,24.75513332246963,6.654965400925775,6.166666666666667,4.930066485916347,8.813251387517674,0,3.0555555555555562,3.2711798000034515,1.0733261174870177,6.717934123836178,1.0,1.6600110418694016,0.4150027604673504,8.414986858934932e-08,0.14433756729740646,4.906112715080304e-08,0.14433756729740646,3.64649514839295e-08,0.14433756729740646,0.9916222972427323,0.010705464160234329,0.6333047016551,0.010705464160234329,0.11796394823972539,0.010705464160234329,1.1307261135176871,0.010705464160234329,2.184878194352881,0.010705464160234329,0.4093047740885598,0.010705464160234329
frc4322,51.270502543620324,7.828133092467395,9.779732890794678,1.9559465781589358,39.49076965282565,7.579837775095948,2.0,0.0,1.4159408779586995,0,1.4166666666666665,1.3096861371251425,5.25484224724126,6.405497223617553,1.0,2.3439077104220626e-07,0.125,0.5544267131210516,0.1386066782802629,0.7603373443365754,0.19008433608414385,1.813026724225097e-07,0.125,1.728393904480016e-07,0.010705464160234329,5.274210827813311,0.010705464160234329,5.229377519597985,0.010705464160234329,0.4183518450640029,0.010705464160234329,0.028048688394529606,0.010705464160234329,0.12264384740694954,0.010705464160234329
frc5089,13.87281724250817,3.8936284615682037,4.625538743346165,1.5811388300841895,7.247278499162005,3.55813751796273,2.0,0.0,3.6790240695668044,0,3.0000000000000004,7.707139547199078,1.8542328587935732,7.211423067010314,1.0,0.14209910608407064,0.15811388300841897,0.032277465814932425,0.15811388300841897,5.592895791074712e-07,0.15811388300841897,0.1528754580138212,0.15811388300841897,0.4777571473379309,0.010705464160234329,1.9039242827915844e-07,0.010705464160234329,1.11829412086075,0.010705464160234329,0.3637167624646355,0.010705464160234329,2.0275678110967607e-07,0.010705464160234329,5.302504986833784e-07,0.010705464160234329
frc5137,38.876586361438775,6.896215476890294,5.927894626939592,1.1855789253879185,28.03202506783252,5.049006664003825,4.916666666666666,4.545296714431548,5.069574632629394,0,0.64,0.8533333333333334,-0.5980603882109521,4.589244161887718,0.96,1.0444918186928625e-06,0.1,0.015786410794230335,0.1,9.060861627783589e-07,0.1,0.42639148768146246,0.10659787192036561,0.1331400958494648,0.010705464160234329,0.42547359281076125,0.010705464160234329,1.116162307196343,0.010705464160234329,3.6376691847780536,0.010705464160234329,0.36923488772360546,0.010705464160234329,0.40522990467100894,0.010705464160234329
frc5458,34.329108457150504,6.457654803336587,4.124340334914227,1.25,28.204768122236274,6.335519359851732,2.0,0.0,2.7769358277925913,0,0.5833333333333334,1.1273124382057236,1.4946305312553327,5.8406760140721845,1.0,0.007153166605451421,0.125,3.26750358342123e-07,0.125,2.7298861582498565e-07,0.125,0.15755398430924925,0.125,1.3646663635733087,0.010705464160234329,1.0036125730278356,0.010705464160234329,1.7579292355819216,0.010705464160234329,2.574473370664686,0.010705464160234329,0.32347846122461804,0.010705464160234329,0.154910778251832,0.010705464160234329
frc5665,N/A - No data available
frc5817,43.62436197085943,7.8583614901531735,9.70434925407235,1.94086985081447,31.920012716787085,7.614910999619222,2.0,0.0,4.267256420263764,0,0.845771144278607,1.884147323947403,-1.504840479961803,4.5135449798998515,1.0,9.100773929649375e-06,0.09805806756909202,3.5367048551368465e-06,0.09805806756909202,0.013405644570462099,0.09805806756909202,0.9462677053583382,0.23656692633958454,0.21824511693527507,0.010705464160234329,0.8476046478936788,0.010705464160234329,2.175195810061419,0.010705464160234329,2.743871435587397,0.010705464160234329,0.6180781240442733,0.010705464160234329,0.7030248441967989,0.010705464160234329
